"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Sep-2023","EQ","2,462.05","2,479.55","2,405.05","2,475.25","2,416.00","2,413.90","2,430.24","4,190.00","1,017.45","16,89,201","4,10,51,65,312.70","81,407"
"28-Sep-2023","EQ","2,489.95","2,511.00","2,446.70","2,483.30","2,477.10","2,475.25","2,478.59","4,190.00","1,017.45","22,25,560","5,51,62,52,181.95","75,079"
"27-Sep-2023","EQ","2,460.00","2,498.00","2,445.10","2,457.95","2,484.00","2,483.30","2,475.27","4,190.00","1,017.45","10,77,373","2,66,67,89,719.35","42,234"
"26-Sep-2023","EQ","2,491.00","2,499.00","2,452.60","2,482.10","2,458.50","2,457.95","2,474.46","4,190.00","1,017.45","6,98,863","1,72,93,10,964.40","35,719"
"25-Sep-2023","EQ","2,479.95","2,489.00","2,424.00","2,464.90","2,484.00","2,482.10","2,460.35","4,190.00","1,017.45","12,16,898","2,99,39,92,416.55","62,473"
"22-Sep-2023","EQ","2,489.95","2,498.00","2,460.00","2,479.25","2,462.00","2,464.90","2,474.07","4,190.00","1,017.45","8,65,589","2,14,15,28,315.00","44,391"
"21-Sep-2023","EQ","2,479.80","2,503.80","2,461.00","2,470.30","2,481.00","2,479.25","2,482.40","4,190.00","1,017.45","12,79,908","3,17,72,48,552.25","72,931"
"20-Sep-2023","EQ","2,502.40","2,533.65","2,458.90","2,502.45","2,470.40","2,470.30","2,489.13","4,190.00","1,017.45","12,03,019","2,99,44,74,438.95","53,694"
"18-Sep-2023","EQ","2,552.00","2,555.00","2,491.00","2,540.05","2,503.00","2,502.45","2,521.46","4,190.00","1,017.45","8,61,677","2,17,26,82,220.55","41,768"
"15-Sep-2023","EQ","2,519.80","2,558.00","2,514.20","2,519.80","2,537.90","2,540.05","2,539.20","4,190.00","1,017.45","15,47,001","3,92,81,38,873.75","59,448"
"14-Sep-2023","EQ","2,541.85","2,545.00","2,506.05","2,518.90","2,516.00","2,519.80","2,524.05","4,190.00","1,017.45","12,18,481","3,07,55,05,237.20","66,834"
"13-Sep-2023","EQ","2,545.70","2,566.95","2,496.00","2,535.70","2,525.00","2,518.90","2,528.52","4,190.00","1,017.45","17,80,068","4,50,09,35,940.00","64,129"
"12-Sep-2023","EQ","2,622.45","2,626.60","2,530.00","2,614.95","2,532.05","2,535.70","2,555.52","4,190.00","1,017.45","56,58,774","14,46,11,29,168.90","1,47,400"
"11-Sep-2023","EQ","2,565.00","2,630.25","2,546.00","2,519.30","2,612.00","2,614.95","2,581.13","4,190.00","1,017.45","91,48,241","23,61,27,71,041.40","1,81,137"
