,Date,OPEN,HIGH,LOW,PREV. CLOSE,close,Day,Week,Year,Order Type,Buy Quantity,Investment,Total Share,Total Investment,Average Price,Target,IRLower,IRUpper,Description,Prev week high - Buy price,Profit,Capital Employed,Profit Percentage,UPPER - Buy Triggered at IRUpper,LOWER - Buy Triggered at IRLower
0,2022-10-03,3440.0,3460.05,3110.2,3455.75,3157.3,Monday,40,2022,,,,,,,,,,,,,,,,
1,2022-10-04,3230.0,3291.2,3125.0,3157.3,3237.7,Tuesday,40,2022,,,,,,,,,,,,,,,,
2,2022-10-06,3270.0,3318.8,3208.05,3237.7,3285.0,Thursday,40,2022,,,,,,,,,,,,,,,,
3,2022-10-07,3280.0,3310.95,3228.15,3285.0,3277.6,Friday,40,2022,,,,,,,,,,,,,,,,
4,,,3460.05,3110.2,,,WEEKLY SUMMARY,40,2022,,,,,,,,,,,,,,,,
5,2022-10-10,3234.0,3278.75,3214.35,3277.6,3246.25,Monday,41,2022,NOTHING,,,,,,,,,,,,,,,
6,2022-10-11,3257.55,3338.0,3249.0,3246.25,3273.95,Tuesday,41,2022,NOTHING,,,,,,,,,,,,,,,
7,2022-10-12,3297.0,3297.0,3145.0,3273.95,3223.65,Wednesday,41,2022,NOTHING,,,,,,,,,,,,,,,
8,2022-10-13,3218.0,3262.8,3189.0,3223.65,3233.65,Thursday,41,2022,NOTHING,,,,,,,,,,,,,,,
9,2022-10-14,3272.0,3305.0,3194.85,3233.65,3209.5,Friday,41,2022,NOTHING,,,,,,,,,,,,,,,
10,,,3338.0,3145.0,,,WEEKLY SUMMARY,41,2022,,,,,,,,,,,,,,,,
11,2022-10-17,3211.0,3235.0,3136.1,3209.5,3212.6,Monday,42,2022,NOTHING,,,,,,,,,,,,,,,
12,2022-10-18,3249.0,3298.0,3226.1,3212.6,3284.3,Tuesday,42,2022,NOTHING,,,,,,,,,,,,,,,
13,2022-10-19,3300.0,3310.0,3259.65,3284.3,3277.25,Wednesday,42,2022,NOTHING,,,,,,,,,,,,,,,
